Time,Key pressed,Key released
1.59905,1,None
1.85468,None,1
1.96687,2,None
2.31233,None,2
2.42421,3,None
3.0706,None,3
3.18218,Key.shift,None
3.19257,C,None
3.7939,None,Key.shift
3.80423,None,c
3.91611,Key.shift,None
3.9261,A,None
4.34722,None,Key.shift
4.3578,None,a
4.4694,Key.shift,None
4.4811,P,None
4.8097,None,Key.shift
4.82033,None,p
4.93104,a,None
5.37813,None,a
5.48937,b,None
6.16125,None,b
6.27205,c,None
6.49264,None,c
6.60322,Key.shift,None
6.61412,!,None
7.18988,None,Key.shift
7.20096,None,1
9.79794,Key.enter,None
9.80926,None,Key.enter
9.92085,1,None
10.09571,None,1
10.20767,2,None
11.019,None,2
11.13046,3,None
11.7984,None,3
11.9095,Key.shift,None
11.92075,C,None
12.48456,None,Key.shift
12.49558,None,c
12.60709,Key.shift,None
12.61857,A,None
13.39579,None,Key.shift
13.40698,None,a
13.52016,Key.shift,None
13.53163,P,None
14.05026,None,Key.shift
14.06121,None,p
14.17524,a,None
14.52086,None,a
14.63142,b,None
15.40938,None,b
15.5215,c,None
15.93786,None,c
16.04983,Key.shift,None
16.06333,!,None
16.65378,None,Key.shift
16.66444,None,1
18.07381,Key.enter,None
18.08542,None,Key.enter
18.19631,1,None
18.90056,None,1
19.01252,2,None
19.59786,None,2
19.70972,3,None
20.06547,None,3
20.17649,Key.shift,None
20.18742,C,None
20.72316,None,Key.shift
20.73389,None,c
20.84409,Key.shift,None
20.85536,A,None
21.13711,None,Key.shift
21.14794,None,a
21.25931,Key.shift,None
21.27012,P,None
21.76595,None,Key.shift
21.77899,None,p
21.8875,a,None
22.10335,None,a
22.21573,b,None
22.8745,None,b
22.98574,c,None
23.68281,None,c
23.79406,Key.shift,None
23.80454,!,None
24.47572,None,Key.shift
24.48639,None,1
27.21992,Key.enter,None
27.23101,None,Key.enter
27.34298,1,None
28.1259,None,1
28.2364,2,None
28.94156,None,2
29.05395,3,None
29.65346,None,3
29.7658,Key.shift,None
29.77627,C,None
30.53309,None,Key.shift
30.5435,None,c
30.65566,Key.shift,None
30.66662,A,None
31.07126,None,Key.shift
31.0829,None,a
31.19347,Key.shift,None
31.20371,P,None
31.7292,None,Key.shift
31.74028,None,p
31.85266,a,None
32.22215,None,a
32.33376,b,None
33.08932,None,b
33.20079,c,None
33.50968,None,c
33.62091,Key.shift,None
33.63128,!,None
34.24339,None,Key.shift
34.25458,None,1
37.06637,Key.enter,None
37.07675,None,Key.enter
37.18702,1,None
37.49354,None,1
37.60491,2,None
38.36321,None,2
38.47373,3,None
39.02242,None,3
39.13464,Key.shift,None
39.14627,C,None
39.85356,None,Key.shift
39.86443,None,c
39.97568,Key.shift,None
39.98588,A,None
40.6204,None,Key.shift
40.6307,None,a
40.74348,Key.shift,None
40.75409,P,None
41.50162,None,Key.shift
41.51264,None,p
41.62413,a,None
42.24676,None,a
42.35918,b,None
42.744,None,b
42.85757,c,None
43.09168,None,c
43.20317,Key.shift,None
43.2144,!,None
43.37584,None,Key.shift
43.38691,None,1
44.73353,Key.enter,None
44.74343,None,Key.enter
44.8554,1,None
45.49341,None,1
45.60413,2,None
46.41042,None,2
46.52088,3,None
47.33182,None,3
47.4434,Key.shift,None
47.45371,C,None
48.04231,None,Key.shift
48.05352,None,c
48.16553,Key.shift,None
48.17598,A,None
48.68322,None,Key.shift
48.69404,None,a
48.80731,Key.shift,None
48.82149,P,None
49.32962,None,Key.shift
49.33962,None,p
49.45076,a,None
49.73032,None,a
49.84196,b,None
50.09528,None,b
50.20602,c,None
50.43812,None,c
50.54888,Key.shift,None
50.55961,!,None
50.7562,None,Key.shift
50.76734,None,1
51.91362,Key.enter,None
51.92737,None,Key.enter
52.03492,1,None
52.71523,None,1
52.82732,2,None
53.30399,None,2
53.41596,3,None
54.10396,None,3
54.21852,Key.shift,None
54.2291,C,None
54.7243,None,Key.shift
54.73442,None,c
54.84634,Key.shift,None
54.85699,A,None
55.43839,None,Key.shift
55.44917,None,a
55.56272,Key.shift,None
55.5732,P,None
56.35656,None,Key.shift
56.36794,None,p
56.47952,a,None
56.63974,None,a
56.7518,b,None
57.06198,None,b
57.17263,c,None
57.9068,None,c
58.01808,Key.shift,None
58.0283,!,None
58.51719,None,Key.shift
58.5277,None,1
60.23653,Key.enter,None
60.25064,None,Key.enter
60.35843,1,None
60.54836,None,1
60.66076,2,None
60.87564,None,2
60.98664,3,None
61.42528,None,3
61.53691,Key.shift,None
61.54709,C,None
62.03571,None,Key.shift
62.04726,None,c
62.15925,Key.shift,None
62.1704,A,None
62.60526,None,Key.shift
62.61596,None,a
62.72734,Key.shift,None
62.73923,P,None
63.29637,None,Key.shift
63.30674,None,p
63.41824,a,None
63.89431,None,a
64.00577,b,None
64.76584,None,b
64.87755,c,None
65.17864,None,c
65.28945,Key.shift,None
65.30014,!,None
65.68681,None,Key.shift
65.69703,None,1
67.16321,Key.enter,None
67.17345,None,Key.enter
67.2844,1,None
67.71515,None,1
67.82657,2,None
68.32537,None,2
68.43633,3,None
68.67276,None,3
68.7836,Key.shift,None
68.79432,C,None
69.23784,None,Key.shift
69.25007,None,c
69.36073,Key.shift,None
69.37213,A,None
69.80376,None,Key.shift
69.81494,None,a
69.92528,Key.shift,None
69.93631,P,None
70.57369,None,Key.shift
70.58443,None,p
70.69565,a,None
70.86281,None,a
70.97498,b,None
71.48247,None,b
71.59384,c,None
72.24102,None,c
72.35148,Key.shift,None
72.36166,!,None
72.9329,None,Key.shift
72.94357,None,1
74.36751,Key.enter,None
74.37799,None,Key.enter
74.48902,1,None
74.82123,None,1
74.93463,2,None
75.17961,None,2
75.29094,3,None
76.08138,None,3
76.19304,Key.shift,None
76.20308,C,None
76.83747,None,Key.shift
76.8484,None,c
76.95958,Key.shift,None
76.97028,A,None
77.12179,None,Key.shift
77.13217,None,a
77.24427,Key.shift,None
77.25586,P,None
78.03172,None,Key.shift
78.04197,None,p
78.15308,a,None
78.42086,None,a
78.53214,b,None
79.04221,None,b
79.15361,c,None
79.79427,None,c
79.90573,Key.shift,None
79.91589,!,None
80.69626,None,Key.shift
80.70728,None,1
