Time,Key pressed,Key released
1.03485,1,None
1.04337,None,1
1.05483,2,None
1.06603,None,2
1.07796,3,None
1.0911,None,3
1.09869,Key.shift,None
1.10957,C,None
1.11967,None,Key.shift
1.13004,None,c
1.14039,Key.shift,None
1.15127,A,None
1.16237,None,Key.shift
1.17655,None,a
1.18236,Key.shift,None
1.19356,P,None
1.20616,None,Key.shift
1.21517,None,p
1.22576,a,None
1.24213,None,a
1.24979,b,None
1.25797,None,b
1.26813,c,None
1.27856,None,c
1.29276,Key.shift,None
1.30353,!,None
1.31416,None,Key.shift
1.32403,None,1
1.4353,Key.enter,None
1.44668,None,Key.enter
1.55874,1,None
1.56902,None,1
1.57993,2,None
1.59575,None,2
1.60158,3,None
1.61179,None,3
1.62289,Key.shift,None
1.63347,C,None
1.64359,None,Key.shift
1.65424,None,c
1.66564,Key.shift,None
1.67675,A,None
1.68678,None,Key.shift
1.6975,None,a
1.70934,Key.shift,None
1.71987,P,None
1.73042,None,Key.shift
1.74453,None,p
1.75365,a,None
1.76367,None,a
1.7769,b,None
1.78723,None,b
1.79901,c,None
1.81002,None,c
1.82084,Key.shift,None
1.8319,!,None
1.84312,None,Key.shift
1.85366,None,1
1.96611,Key.enter,None
1.97694,None,Key.enter
2.08937,1,None
2.1005,None,1
2.11511,2,None
2.1262,None,2
2.13753,3,None
2.14833,None,3
2.15865,Key.shift,None
2.17017,C,None
2.17973,None,Key.shift
2.19007,None,c
2.20116,Key.shift,None
2.21228,A,None
2.22325,None,Key.shift
2.23758,None,a
2.24421,Key.shift,None
2.25539,P,None
2.26623,None,Key.shift
2.27661,None,p
2.28782,a,None
2.29848,None,a
2.30911,b,None
2.31945,None,b
2.32969,c,None
2.34026,None,c
2.35473,Key.shift,None
2.36449,!,None
2.37565,None,Key.shift
2.38769,None,1
2.49888,Key.enter,None
2.50936,None,Key.enter
2.62095,1,None
2.63247,None,1
2.64386,2,None
2.65438,None,2
2.66577,3,None
2.6768,None,3
2.6883,Key.shift,None
2.69822,C,None
2.70913,None,Key.shift
2.72185,None,c
2.73052,Key.shift,None
2.74078,A,None
2.75329,None,Key.shift
2.76189,None,a
2.77342,Key.shift,None
2.78235,P,None
2.79409,None,Key.shift
2.80408,None,p
2.81538,a,None
2.82553,None,a
2.83786,b,None
2.84828,None,b
2.8587,c,None
2.87062,None,c
2.87971,Key.shift,None
2.89134,!,None
2.90628,None,Key.shift
2.91202,None,1
3.02291,Key.enter,None
3.03332,None,Key.enter
3.14617,1,None
3.15673,None,1
3.16814,2,None
3.17863,None,2
3.19064,3,None
3.2059,None,3
3.21274,Key.shift,None
3.223,C,None
3.23459,None,Key.shift
3.24546,None,c
3.25504,Key.shift,None
3.26611,A,None
3.27719,None,Key.shift
3.29001,None,a
3.29886,Key.shift,None
3.30969,P,None
3.32025,None,Key.shift
3.33148,None,p
3.34269,a,None
3.35428,None,a
3.36589,b,None
3.37686,None,b
3.38859,c,None
3.39963,None,c
3.41031,Key.shift,None
3.42076,!,None
3.43253,None,Key.shift
3.44275,None,1
3.55703,Key.enter,None
3.56822,None,Key.enter
3.68078,1,None
3.69471,None,1
3.70285,2,None
3.71368,None,2
3.72863,3,None
3.73881,None,3
3.74928,Key.shift,None
3.76019,C,None
3.77098,None,Key.shift
3.78128,None,c
3.7929,Key.shift,None
3.80323,A,None
3.81352,None,Key.shift
3.82947,None,a
3.83585,Key.shift,None
3.84571,P,None
3.85557,None,Key.shift
3.86627,None,p
3.87703,a,None
3.88859,None,a
3.89919,b,None
3.91078,None,b
3.92203,c,None
3.93287,None,c
3.94471,Key.shift,None
3.95574,!,None
3.96609,None,Key.shift
3.97834,None,1
4.08821,Key.enter,None
4.10013,None,Key.enter
4.2111,1,None
4.22176,None,1
4.23725,2,None
4.2478,None,2
4.25802,3,None
4.26892,None,3
4.28046,Key.shift,None
4.29057,C,None
4.30121,None,Key.shift
4.3124,None,c
4.32323,Key.shift,None
4.33372,A,None
4.34386,None,Key.shift
4.35795,None,a
4.36491,Key.shift,None
4.37511,P,None
4.38521,None,Key.shift
4.39539,None,p
4.4067,a,None
4.41666,None,a
4.42711,b,None
4.43968,None,b
4.44964,c,None
4.46014,None,c
4.47384,Key.shift,None
4.48481,!,None
4.49618,None,Key.shift
4.50855,None,1
4.61792,Key.enter,None
4.62873,None,Key.enter
4.74082,1,None
4.75207,None,1
4.76302,2,None
4.77404,None,2
4.78567,3,None
4.79589,None,3
4.85502,Key.shift,None
4.8649,C,None
4.87596,None,Key.shift
4.88641,None,c
4.89693,Key.shift,None
4.90806,A,None
4.9184,None,Key.shift
4.92905,None,a
4.94232,Key.shift,None
4.95355,P,None
4.96416,None,Key.shift
4.97521,None,p
4.98554,a,None
4.99658,None,a
5.00948,b,None
5.01926,None,b
5.02968,c,None
5.04071,None,c
5.05093,Key.shift,None
5.06227,!,None
5.07476,None,Key.shift
5.08407,None,1
5.19462,Key.enter,None
5.2075,None,Key.enter
5.31666,1,None
5.32708,None,1
5.33803,2,None
5.34838,None,2
5.36043,3,None
5.36999,None,3
5.38086,Key.shift,None
5.39191,C,None
5.40191,None,Key.shift
5.41225,None,c
5.42486,Key.shift,None
5.43624,A,None
5.44705,None,Key.shift
5.4565,None,a
5.46746,Key.shift,None
5.47741,P,None
5.49,None,Key.shift
5.49898,None,p
5.51031,a,None
5.52041,None,a
5.53173,b,None
5.54241,None,b
5.55334,c,None
5.56428,None,c
5.57563,Key.shift,None
5.58585,!,None
5.59678,None,Key.shift
5.60696,None,1
5.71874,Key.enter,None
5.72927,None,Key.enter
5.84191,1,None
5.85247,None,1
5.86377,2,None
5.87531,None,2
5.88577,3,None
5.89647,None,3
5.91044,Key.shift,None
5.92095,C,None
5.93155,None,Key.shift
5.94212,None,c
5.9541,Key.shift,None
5.96432,A,None
5.97752,None,Key.shift
5.98618,None,a
5.99739,Key.shift,None
6.00807,P,None
6.01819,None,Key.shift
6.02864,None,p
6.04216,a,None
6.05248,None,a
6.06349,b,None
6.07464,None,b
6.08611,c,None
6.09593,None,c
6.10841,Key.shift,None
6.11951,!,None
6.13114,None,Key.shift
6.14187,None,1
